name,price
넥스트 스파크,1559
말리부,3338
볼트,4243
볼트 ev,4430
스파크,1487
임팔라,4191
캡티바,3355
크루즈,2512
트랙스,2739
라세티 ,2142
알페온,3763
g80스포츠,6997
g90,13253
i30,2556
kona 1.6T,2624
그랜저 ,3086
그랜저 hg240,3500
그랜저 ig,4754
더뉴 그랜드 스타렉스,2720
더 뉴 아반떼 AD,1803
맥스크루즈,2355
벨로스터,4417
소나타,2635
소나타lf,2448
소나타 lpi,2516
소나타 nf,2805
소나타 yf,3011
소나타 뉴라이즈,3448
소나타 하이브리드,3940
스타렉스,3237
싼타페,4382
아반떼 ad,2424
아반떼 md,2250
아반떼 xd,1273
아슬란,5065
아이오닉 일렉트린,3995
아이오닉 하이브리드,5495
에쿠스,14900
엑센트,1781
제네시스 g70,6426
제네시스 g80,7732
제네시스 g380 ,7210
투싼,4126
투싼 1.7d,3745
팰리세이드,5638
qm3,2768
qm6,3715
sm5,2550
sm6,3005
sm7,3789
sm520,2078
클리오,2298
g4 렉스턴,4785
코란도 c ,3012
코란도 스포츠,2715
코란도 투리스모,3135
티볼리,2302
티볼리 에어,2673
